date,1. open,2. high,3. low,4. close,5. volume,price_change,daily_return,symbol
18/11/2025,269.99,270.71,265.32,267.44,45677278,-2.55,-0.94,AAPL
19/11/2025,265.52,272.21,265.5,268.56,40424492,3.04,1.14,AAPL
20/11/2025,270.83,275.43,265.92,266.25,45823568,-4.58,-1.69,AAPL
21/11/2025,265.95,273.33,265.67,271.49,59030832,5.54,2.08,AAPL
24/11/2025,270.9,277,270.9,275.92,65585796,5.02,1.85,AAPL
25/11/2025,275.27,280.38,275.25,276.97,46914220,1.7,0.62,AAPL
26/11/2025,276.96,279.53,276.63,277.55,33431423,0.59,0.21,AAPL
28/11/2025,277.26,279,275.99,278.85,20135620,1.59,0.57,AAPL
01/12/2025,278.01,283.42,276.14,283.1,46587722,5.09,1.83,AAPL
02/12/2025,283,287.4,282.63,286.19,53669532,3.19,1.13,AAPL
03/12/2025,286.2,288.62,283.3,284.15,43538687,-2.05,-0.72,AAPL
04/12/2025,284.1,284.73,278.59,280.7,43989056,-3.4,-1.2,AAPL
05/12/2025,280.54,281.14,278.05,278.78,47265845,-1.76,-0.63,AAPL
08/12/2025,278.13,279.67,276.15,277.89,36406317,-0.24,-0.09,AAPL
09/12/2025,278.16,280.03,276.92,277.18,31753410,-0.98,-0.35,AAPL
10/12/2025,277.75,279.75,276.44,278.78,33038318,1.03,0.37,AAPL
11/12/2025,279.1,279.59,273.81,278.03,33247986,-1.07,-0.38,AAPL
12/12/2025,277.9,279.22,276.82,278.28,39532887,0.38,0.14,AAPL
15/12/2025,280.15,280.15,272.84,274.11,50409078,-6.04,-2.16,AAPL
16/12/2025,272.82,275.5,271.79,274.61,37648628,1.79,0.66,AAPL
17/12/2025,275.01,276.16,271.64,271.84,50138743,-3.17,-1.15,AAPL
18/12/2025,273.6,273.63,266.95,272.19,51630721,-1.41,-0.52,AAPL
19/12/2025,272.14,274.6,269.9,273.67,144632048,1.53,0.56,AAPL
22/12/2025,272.86,273.88,270.5,270.97,36571827,-1.89,-0.69,AAPL
23/12/2025,270.84,272.5,269.56,272.36,29641999,1.52,0.56,AAPL
24/12/2025,272.34,275.43,272.2,273.81,17910574,1.47,0.54,AAPL
26/12/2025,274.16,275.37,272.86,273.4,21521802,-0.76,-0.28,AAPL
29/12/2025,272.69,274.36,272.35,273.76,23715213,1.07,0.39,AAPL
30/12/2025,272.81,274.08,272.28,273.08,22139617,0.27,0.1,AAPL
31/12/2025,273.06,273.68,271.75,271.86,27293639,-1.2,-0.44,AAPL
02/01/2026,272.26,277.84,269,271.01,37838054,-1.25,-0.46,AAPL
05/01/2026,270.64,271.51,266.14,267.26,45647190,-3.38,-1.25,AAPL
06/01/2026,267,267.55,262.12,262.36,52352090,-4.64,-1.74,AAPL
